customerid,customername,customerrating,totalrides,customerfeedback,location,frequentdropofflocation,age,gender
cust1,Veer Gill,3.6,4,Architecto voluptatibus at placeat dolores recusandae.,Versova,Andheri,33,Male
cust2,Adah Seshadri,1.6,14,Officia exercitationem ab laudantium atque soluta.,Malad,Versova,52,Male
cust3,Eshani Atwal,3.4,5,Eaque officiis debitis.,Colaba,South Mumbai,31,Male
cust4,Vidur Gade,3.0,4,Ullam natus aspernatur nisi nemo.,Thane,Bandra,63,Other
cust5,Rania Sathe,3.8,54,Ex fugit quasi at totam aliquam.,Bandra,Kurla,55,Female
cust6,Anaya Kala,4.2,1,Fugiat dolores veritatis.,Vashi,Vashi,28,Other
cust7,Saanvi Bhavsar,2.7,36,Officiis nam est autem dolorem.,Dadar,Bandra,39,Male
cust8,Kavya Garde,1.4,13,Commodi aperiam ea fuga.,Juhu,Kandivali,40,Other
cust9,Siya Arora,2.1,6,Quaerat perspiciatis nemo labore qui maiores ipsam.,Versova,Kurla,52,Male
cust10,Nitya Sheth,4.9,49,Autem nisi assumenda necessitatibus repellat.,South Mumbai,Thane,36,Other
cust11,Urvi Wable,3.5,47,Quisquam laudantium adipisci facere ipsa aperiam.,Borivali,Bandra,63,Male
cust12,Miraan Johal,1.2,30,Reiciendis quos enim eligendi quos.,Vashi,Andheri,23,Male
cust13,Zeeshan Hayre,4.5,49,Tempore eum fugit ab eligendi tempora non.,Andheri,Kurla,58,Female
cust14,Pihu Saraf,1.7,46,Facere quasi optio eius pariatur ipsa.,Bandra,Malad,35,Other
cust15,Aarna Sengupta,4.7,83,Voluptatibus cumque minus at.,South Mumbai,Borivali,58,Male
cust16,Kimaya Rajan,3.1,32,Iure assumenda similique laudantium eos odit adipisci.,Dadar,Kurla,42,Female
cust17,Inaaya  Dara,5.0,82,Eaque consequatur suscipit omnis ratione fugit.,Versova,Thane,32,Other
cust18,Yuvaan Hegde,2.3,99,Adipisci nulla tenetur sed modi laborum repudiandae.,Vashi,Colaba,32,Male
cust19,Faiyaz Desai,4.2,52,Magni ipsum nemo vitae incidunt soluta.,Andheri,South Mumbai,31,Other
cust20,Vritika Gokhale,4.5,41,Quae iste enim.,Bandra,Malad,49,Female
cust21,Anvi Chauhan,4.5,83,Ipsa dolores dignissimos debitis porro molestias iste.,Kurla,Dadar,34,Male
cust22,Rhea Chhabra,2.0,72,Dolores ipsum pariatur dignissimos at.,Thane,Andheri,65,Other
cust23,Tejas Vaidya,2.7,75,Ipsam corporis necessitatibus nihil minus.,Ghatkopar,Juhu,32,Male
cust24,Charvi Gill,3.0,12,Tenetur voluptatem iusto.,Vashi,Colaba,25,Male
cust25,Saira Khosla,3.5,88,Rem voluptate iure minus.,Ghatkopar,Borivali,22,Female
cust26,Emir Chandran,2.5,60,Laboriosam quaerat amet facere placeat debitis deserunt.,Thane,Andheri,53,Male
cust27,Renee Khanna,3.7,15,Sapiente dicta itaque perferendis ipsum.,Malad,Sion,52,Female
cust28,Farhan Setty,4.1,44,Pariatur modi sed deleniti ullam ipsa.,South Mumbai,Andheri,45,Male
cust29,Prisha Sur,2.8,93,Quam dolore quibusdam ex laboriosam consectetur.,Sion,Versova,34,Other
cust30,Saira Sur,4.0,65,Corporis explicabo tenetur dicta minus occaecati.,Sion,South Mumbai,58,Female
cust31,Nakul Saxena,4.4,65,Iste id repellat neque repellat.,Borivali,Bandra,27,Female
cust32,Piya Char,4.1,70,Impedit veniam perspiciatis.,Vashi,Sion,51,Male
